ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
52,Wholesale,Puglia,S5,0.342857143,S6,0.214285714,S6,0.214285714,S4,0.5,BBB,BBB,BBB,1438.011,922.548,411.545,918.189,642.675,173.534,301.854,180.125,108.076,909.141,469.511,278.469,8199.495,5249.896,5249.896,168.776,105.645,85.86,121.729,64.549,67.937,198.137,121.915,100.321
53,"Chemicals, Petroleum, Rubber & Plastic",Puglia,S2,0.764285714,S3,0.642857143,S1,0.928571429,S2,0.785714286,A,A,A,78495.275,84019.907,73494.453,32954.9,35822.977,22633.51,49941.848,48664.381,54075.479,26704.831,33530.884,17713.508,143173.012,126951.595,126951.595,2493.788,1473.295,1862.788,1776.965,521.22,1005.444,5455.832,4416.155,4964.217
54,Retail,Puglia,S3,0.657142857,S2,0.785714286,S2,0.785714286,S4,0.5,BB,B,BB,2819.308,4728.537,2495.292,2274.714,4191.157,1890.159,512.831,432.136,403.727,1843.036,3899.186,1714.525,10435.048,9126.772,9126.772,195.031,191.665,192.293,80.695,73.41,66.796,216.37,230.938,320.454
55,Wholesale,Puglia,S4,0.607142857,S3,0.642857143,S2,0.785714286,S4,0.5,BB,BB,BB,2007.229,2015.779,1962.272,2000.486,1971.596,1919.141,322.626,291.251,309.895,816.016,721.939,642.01,8855.581,5608.823,5608.823,78.515,35.606,58.037,52.593,21.218,39.86,86.377,46.085,68.715
56,Utilities,Puglia,S5,0.45,S2,0.785714286,S7,0.071428571,S5,0.357142857,BBB,BB,BB,4730.292,2398.13,957.872,4013.546,2284.877,941.414,1519.917,97.635,61.194,2473.612,2272.616,866.84,12386.255,5482.804,5482.804,301.466,28.945,8.887,232.282,36.439,16.728,307.431,35.504,15.521
57,Utilities,Puglia,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,BBB,BBB,BB,8492.009,7687.457,8795.989,2644.956,1621.359,1543.565,4041.319,3972.096,4001.599,2837.141,2457.088,2271.147,3606.741,2089.106,2089.106,367.82,308.686,313.91,219.223,170.497,133.7,1612.249,1511.038,1718.772
58,Utilities,Puglia,S2,0.785714286,S2,0.785714286,,,S2,0.785714286,A,A,BBB,1558.297,1539.61,1489.006,700.927,563.057,364.845,1304.304,1174.429,1040.481,253.993,361.525,235.935,893.608,464.624,464.624,180.654,187.539,109.245,129.874,133.949,63.739,408.21,415.067,336.156
59,Utilities,Puglia,S4,0.625,S2,0.785714286,,,S4,0.5,BBB,BB,B,33187.838,31719.541,31362.482,10075.221,6791.148,3839.331,11081.105,9676.45,7967.617,8681.056,2518.693,2251.036,13599.286,7419.03,7419.03,9205.817,3130.603,635.798,2410.087,1922.952,-39.552,11800.575,5725.361,3232.212
60,Utilities,Puglia,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,A,AAA,AA,13124.394,12439.145,9486.799,8459.754,6865.659,4729.509,9471.226,11355.564,9275.417,1057.937,1078.006,209.467,10332.871,6760.014,6760.014,2909.817,3476.808,1461.005,1615.24,2456.668,1055.487,4407.538,4921.62,2879.618
61,Construction,Puglia,S1,0.928571429,S1,0.928571429,S1,0.928571429,,,BB,B,0,240867.073,173881.384,n.a.,213977.387,153824.216,n.a.,21945.438,14642.431,n.a.,174605.733,112380.218,n.a.,224812.145,114604.813,114604.813,11604.194,4596.266,n.a.,7235.709,2632.9,n.a.,15316.744,5363.337,n.a.
62,Construction,Puglia,S3,0.642857143,S1,0.928571429,S2,0.785714286,S5,0.357142857,BBB,BBB,BB,200454.921,125239.184,97210.752,174150.062,107657.053,82265.111,47001.152,30384.682,22686.783,136163.341,80354.362,62419.008,199447.058,118464.274,118464.274,22919.648,10583.992,2645.795,15764.737,6817.586,1233.916,24982.319,12312.15,3888.204
63,Construction,Puglia,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,0,BBB,BBB,n.a.,31463.843,29918.222,n.a.,25798.182,25082.554,n.a.,12488.208,10309.705,n.a.,14523.481,14685.606,n.a.,49670.832,49670.832,n.a.,3546.913,4096.728,n.a.,2334.03,1554.248,n.a.,4368.558,4638.955
64,Construction,Puglia,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,0,BB,B,n.a.,65766.275,67901.278,n.a.,55365.366,56519.569,n.a.,14098.734,14571.74,n.a.,16576.478,18755.045,n.a.,8217.539,8217.539,n.a.,321.933,462.963,n.a.,496.997,240.274,n.a.,1156.468,1170.58
65,Construction,Puglia,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,BBB,BBB,B,83927.724,76441.91,67397.572,82157.907,74668.782,66092.432,10785.307,8583.388,4106.058,46189.326,40773.517,30574.007,45750.163,40629.599,40629.599,7959.965,6634.762,1821.48,5399.448,4477.331,1044.182,8492.611,7015.761,2086.171
66,"Travel, Personal & Leisure",Puglia,S4,0.525974026,S2,0.785714286,S7,0.071428571,,,0,B,B,n.a.,102158,91163,n.a.,61666,46731,n.a.,12919,11892,n.a.,60735,48672,n.a.,142362,142362,n.a.,3191,2024,n.a.,1000,726,n.a.,7357,6877
67,Wholesale,Puglia,S4,0.621428571,S1,0.928571429,S5,0.357142857,S4,0.5,A,A,AA,35011.635,35401.711,23148.183,34698.653,35280.775,20486.064,21873.245,17238.623,15767.812,10083.843,13479.421,6521.218,129644.338,130127.909,130127.909,6520.797,6735.507,8416.238,4475.72,4760.013,5946.347,6791.93,6936.014,8845.697
68,"Travel, Personal & Leisure",Puglia,S4,0.514285714,S2,0.785714286,S7,0.071428571,S4,0.5,BBB,AA,A,25743.575,25595.937,28258.817,21828.803,21253.126,24009.221,11909.461,12781.648,15740.936,12771.596,10663.479,8325.87,30358.995,32363.451,32363.451,2953.338,3562.769,3590.957,2129.262,3040.713,2986.717,3520.514,4100.699,3952.925
69,Wholesale,Puglia,S4,0.535714286,S2,0.785714286,S4,0.5,S5,0.357142857,0,BBB,BBB,n.a.,6404.286,5492.633,n.a.,6248.315,5339.025,n.a.,2234.104,1380.81,n.a.,3123.106,2843.206,n.a.,12590.137,12590.137,n.a.,1331.236,346.61,n.a.,853.296,244.897,n.a.,1342.971,347.055
70,"Travel, Personal & Leisure",Puglia,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,0,BBB,A,n.a.,2006.779,1487.29,n.a.,1370.491,1308.124,n.a.,624.668,504.912,n.a.,553.51,454.73,n.a.,7998.051,7998.051,n.a.,186.798,165.658,n.a.,119.759,115.282,n.a.,227.159,197.116
71,Business Services,Puglia,S3,0.668831169,S1,0.928571429,S6,0.214285714,,,0,BB,BB,n.a.,76740.464,69435.023,n.a.,63100.785,55315.163,n.a.,9966.762,5774.822,n.a.,46002.118,47783.332,n.a.,107917.138,107917.138,n.a.,2478.719,3618.765,n.a.,991.938,1583.126,n.a.,4517.307,5272.972
